"","variable","permutation","dropout_loss","label","Model"
"119","RH",5,0.0180664101220854,"workflow","RF"
"120","_baseline_",5,0.357079766175511,"workflow","RF"
"121","_full_model_",6,0.0226680222969136,"workflow","RF"
"122","aspen.prob",6,0.0226680222969136,"workflow","RF"
"123","cell",6,0.0226680222969136,"workflow","RF"
"124","x",6,0.0527619207010015,"workflow","RF"
"125","y",6,0.0356865739330381,"workflow","RF"
"126","tpi3",6,0.0380790428569463,"workflow","RF"
"127","tpi15",6,0.0226680222969136,"workflow","RF"
"128","hli",6,0.0263687476390811,"workflow","RF"
"129","elev",6,0.0365947519359259,"workflow","RF"
"130","pH",6,0.0226680222969136,"workflow","RF"
"131","clay",6,0.0251245037672837,"workflow","RF"
"132","om",6,0.0309176392218313,"workflow","RF"
"133","thetas",6,0.0264687672429239,"workflow","RF"
"134","ADI",6,0.0344783371186197,"workflow","RF"
"135","PRATIO",6,0.0459645884238751,"workflow","RF"
"136","DD_0",6,0.0397793761222639,"workflow","RF"
"137","GSP",6,0.0226680222969136,"workflow","RF"
"138","TD",6,0.0226680222969136,"workflow","RF"
"139","RH",6,0.031237701954128,"workflow","RF"
"140","_baseline_",6,0.390360089942173,"workflow","RF"
"141","_full_model_",7,0.00968498274508822,"workflow","RF"
"142","aspen.prob",7,0.00968498274508822,"workflow","RF"
"143","cell",7,0.00968498274508822,"workflow","RF"
"144","x",7,0.0242057687737348,"workflow","RF"
"145","y",7,0.0177503062590668,"workflow","RF"
"146","tpi3",7,0.0212743800884169,"workflow","RF"
"147","tpi15",7,0.00968498274508822,"workflow","RF"
"148","hli",7,0.0196525052010459,"workflow","RF"
"149","elev",7,0.0274455139191229,"workflow","RF"
"150","pH",7,0.00968498274508822,"workflow","RF"
"151","clay",7,0.0160042878618007,"workflow","RF"
"152","om",7,0.0236651438112788,"workflow","RF"
"153","thetas",7,0.0126283853184602,"workflow","RF"
"154","ADI",7,0.0304049350099039,"workflow","RF"
"155","PRATIO",7,0.0347339393389053,"workflow","RF"
"156","DD_0",7,0.0198247042631605,"workflow","RF"
"157","GSP",7,0.00968498274508822,"workflow","RF"
"158","TD",7,0.00968498274508822,"workflow","RF"
"159","RH",7,0.0185392182413185,"workflow","RF"
"160","_baseline_",7,0.389163660096103,"workflow","RF"
"161","_full_model_",8,0.00439598578647538,"workflow","RF"
"162","aspen.prob",8,0.00439598578647538,"workflow","RF"
"163","cell",8,0.00439598578647538,"workflow","RF"
"164","x",8,0.0280803647365397,"workflow","RF"
"165","y",8,0.0155681645413372,"workflow","RF"
"166","tpi3",8,0.0247003106556739,"workflow","RF"
"167","tpi15",8,0.00439598578647538,"workflow","RF"
"168","hli",8,0.0101720782039548,"workflow","RF"
"169","elev",8,0.0185042115180902,"workflow","RF"
