"",".metric",".estimator","mean","n","std_err",".config","Dataset","Model"
"1","accuracy","binary",0.7686,5,0.00337045990927055,"Preprocessor1_Model1","Calibration","RF"
"2","f_meas","binary",0.763197823616985,5,0.0040923779968969,"Preprocessor1_Model1","Calibration","RF"
"3","kap","binary",0.5372,5,0.00674091981854109,"Preprocessor1_Model1","Calibration","RF"
"4","precision","binary",0.781378362683323,5,0.00358509305578866,"Preprocessor1_Model1","Calibration","RF"
"5","recall","binary",0.746,5,0.00695701085237044,"Preprocessor1_Model1","Calibration","RF"
"6","roc_auc","binary",0.8513076,5,0.00350569978178377,"Preprocessor1_Model1","Calibration","RF"
"7","sens","binary",0.746,5,0.00695701085237044,"Preprocessor1_Model1","Calibration","RF"
"8","spec","binary",0.7912,5,0.00475815090134813,"Preprocessor1_Model1","Calibration","RF"
