"variable","include"
"ADI","include"
"PRATIO","include"
"GSPDD5","include"
"TD","include"
"RH","include"
"om","include"
"tpi3","include"
"thetas","include"
"clay","include"
"hli","include"
"GSP","remove"
"DD_0","remove"
"pH","remove"
"tpi15","remove"
