"",".metric",".estimator","mean","n","std_err",".config","Dataset","Model"
"1","accuracy","binary",0.771495603002675,5,0.0212877936774991,"Preprocessor1_Model1","training","RF"
"2","f_meas","binary",0.777392217927407,5,0.0420460916688332,"Preprocessor1_Model1","training","RF"
"3","kap","binary",0.456175346009687,5,0.0405872873711431,"Preprocessor1_Model1","training","RF"
"4","precision","binary",0.764824252022907,5,0.0304459527336836,"Preprocessor1_Model1","training","RF"
"5","recall","binary",0.794473571312739,5,0.0575836157585258,"Preprocessor1_Model1","training","RF"
"6","roc_auc","binary",0.829413916730225,5,0.0147779114166753,"Preprocessor1_Model1","training","RF"
"7","sens","binary",0.794473571312739,5,0.0575836157585258,"Preprocessor1_Model1","training","RF"
"8","spec","binary",0.645609271719564,5,0.0873385971956763,"Preprocessor1_Model1","training","RF"
