"layer","value","count","scenario","percent"
"2011-2040","loss",650399,"SSP5-8.5",17
"2041-2070","loss",715011,"SSP5-8.5",18
"2071-2100","loss",892896,"SSP5-8.5",23
"2011-2040","loss",634155,"SSP2-4.5",16
"2041-2070","loss",646282,"SSP2-4.5",17
"2071-2100","loss",720832,"SSP2-4.5",18
