"","variable","permutation","dropout_loss","label","Model"
"101","_full_model_",5,-0.015127159131505,"workflow","XGB"
"102","aspen.prob",5,-0.015127159131505,"workflow","XGB"
"103","cell",5,-0.015127159131505,"workflow","XGB"
"104","x",5,0.0179540733614934,"workflow","XGB"
"105","y",5,-0.0014616929450304,"workflow","XGB"
"106","tpi3",5,-0.00302231719473267,"workflow","XGB"
"107","tpi15",5,-0.015127159131505,"workflow","XGB"
"108","hli",5,-0.00703192103626649,"workflow","XGB"
"109","elev",5,0.0248168184595314,"workflow","XGB"
"110","pH",5,-0.015127159131505,"workflow","XGB"
"111","clay",5,-0.0146149542495513,"workflow","XGB"
"112","om",5,0.00863434547033382,"workflow","XGB"
"113","thetas",5,-0.0111495680950933,"workflow","XGB"
"114","ADI",5,0.037713977323077,"workflow","XGB"
"115","PRATIO",5,0.0085423086556109,"workflow","XGB"
"116","DD_0",5,-0.00397869974775211,"workflow","XGB"
"117","GSP",5,-0.015127159131505,"workflow","XGB"
"118","TD",5,-0.015127159131505,"workflow","XGB"
"119","RH",5,-0.00637966013190594,"workflow","XGB"
"120","_baseline_",5,0.379158555154209,"workflow","XGB"
"121","_full_model_",6,-0.00579028697806261,"workflow","XGB"
"122","aspen.prob",6,-0.00579028697806261,"workflow","XGB"
"123","cell",6,-0.00579028697806261,"workflow","XGB"
"124","x",6,0.0204140879016603,"workflow","XGB"
"125","y",6,0.0061772863107945,"workflow","XGB"
"126","tpi3",6,0.00882338291737672,"workflow","XGB"
"127","tpi15",6,-0.00579028697806261,"workflow","XGB"
"128","hli",6,0.00179518996080497,"workflow","XGB"
"129","elev",6,0.0464300286290967,"workflow","XGB"
"130","pH",6,-0.00579028697806261,"workflow","XGB"
"131","clay",6,-0.0044953033357531,"workflow","XGB"
"132","om",6,0.0162605180767836,"workflow","XGB"
"133","thetas",6,-0.00345290164225154,"workflow","XGB"
"134","ADI",6,0.0409052996535358,"workflow","XGB"
"135","PRATIO",6,0.0166413956186376,"workflow","XGB"
"136","DD_0",6,0.00540751275251594,"workflow","XGB"
"137","GSP",6,-0.00579028697806261,"workflow","XGB"
"138","TD",6,-0.00579028697806261,"workflow","XGB"
"139","RH",6,0.0018352823336315,"workflow","XGB"
"140","_baseline_",6,0.389456361299568,"workflow","XGB"
"141","_full_model_",7,0.017820653903062,"workflow","XGB"
"142","aspen.prob",7,0.017820653903062,"workflow","XGB"
"143","cell",7,0.017820653903062,"workflow","XGB"
"144","x",7,0.045912095393256,"workflow","XGB"
"145","y",7,0.0310085595113282,"workflow","XGB"
"146","tpi3",7,0.0363318235380093,"workflow","XGB"
"147","tpi15",7,0.017820653903062,"workflow","XGB"
"148","hli",7,0.0266994414174423,"workflow","XGB"
"149","elev",7,0.0470384788205875,"workflow","XGB"
"150","pH",7,0.017820653903062,"workflow","XGB"
"151","clay",7,0.0183738244118592,"workflow","XGB"
"152","om",7,0.0328123763878398,"workflow","XGB"
"153","thetas",7,0.0197487337199553,"workflow","XGB"
"154","ADI",7,0.0698788089591607,"workflow","XGB"
"155","PRATIO",7,0.0248996330228793,"workflow","XGB"
"156","DD_0",7,0.0255209477247877,"workflow","XGB"
"157","GSP",7,0.017820653903062,"workflow","XGB"
"158","TD",7,0.017820653903062,"workflow","XGB"
"159","RH",7,0.0273407985290901,"workflow","XGB"
"160","_baseline_",7,0.359395426121074,"workflow","XGB"
"161","_full_model_",8,0.00648555245322568,"workflow","XGB"
"162","aspen.prob",8,0.00648555245322568,"workflow","XGB"
"163","cell",8,0.00648555245322568,"workflow","XGB"
"164","x",8,0.050975109759905,"workflow","XGB"
"165","y",8,0.0252607782844778,"workflow","XGB"
"166","tpi3",8,0.0292248374810941,"workflow","XGB"
"167","tpi15",8,0.00648555245322568,"workflow","XGB"
"168","hli",8,0.0141133633315644,"workflow","XGB"
"169","elev",8,0.041769683403318,"workflow","XGB"
"170","pH",8,0.00648555245322568,"workflow","XGB"
"171","clay",8,0.0110502266796328,"workflow","XGB"
"172","om",8,0.0285401363471324,"workflow","XGB"
"173","thetas",8,0.00773082761499067,"workflow","XGB"
"174","ADI",8,0.0660785757090389,"workflow","XGB"
"175","PRATIO",8,0.0322159003294515,"workflow","XGB"
"176","DD_0",8,0.016371675843579,"workflow","XGB"
"177","GSP",8,0.00648555245322568,"workflow","XGB"
"178","TD",8,0.00648555245322568,"workflow","XGB"
"179","RH",8,0.0134366703980011,"workflow","XGB"
"180","_baseline_",8,0.389241494537919,"workflow","XGB"
"181","_full_model_",9,-0.00585545044803126,"workflow","XGB"
"182","aspen.prob",9,-0.00585545044803126,"workflow","XGB"
"183","cell",9,-0.00585545044803126,"workflow","XGB"
"184","x",9,0.0110112962506473,"workflow","XGB"
"185","y",9,0.00892646231707372,"workflow","XGB"
"186","tpi3",9,0.00534903134468523,"workflow","XGB"
"187","tpi15",9,-0.00585545044803126,"workflow","XGB"
"188","hli",9,-0.00109754728676814,"workflow","XGB"
"189","elev",9,0.0298948496720174,"workflow","XGB"
"190","pH",9,-0.00585545044803126,"workflow","XGB"
"191","clay",9,-0.00427081659449136,"workflow","XGB"
"192","om",9,0.0078700397480449,"workflow","XGB"
"193","thetas",9,-0.00500310951165617,"workflow","XGB"
"194","ADI",9,0.0535443094559284,"workflow","XGB"
"195","PRATIO",9,0.0133842454303214,"workflow","XGB"
"196","DD_0",9,0.000487086566775874,"workflow","XGB"
"197","GSP",9,-0.00585545044803126,"workflow","XGB"
"198","TD",9,-0.00585545044803126,"workflow","XGB"
"199","RH",9,-0.000101148727343681,"workflow","XGB"
"200","_baseline_",9,0.379570720020156,"workflow","XGB"
"201","_full_model_",10,0.0175781678207761,"workflow","XGB"
"202","aspen.prob",10,0.0175781678207761,"workflow","XGB"
"203","cell",10,0.0175781678207761,"workflow","XGB"
"204","x",10,0.0372634750884889,"workflow","XGB"
"205","y",10,0.0361467201621574,"workflow","XGB"
"206","tpi3",10,0.0309351971726158,"workflow","XGB"
"207","tpi15",10,0.0175781678207761,"workflow","XGB"
"208","hli",10,0.0257316795947347,"workflow","XGB"
"209","elev",10,0.044276215701142,"workflow","XGB"
"210","pH",10,0.0175781678207761,"workflow","XGB"
"211","clay",10,0.0190111365076086,"workflow","XGB"
"212","om",10,0.0373195129700953,"workflow","XGB"
"213","thetas",10,0.0188230093336375,"workflow","XGB"
"214","ADI",10,0.0778989446659234,"workflow","XGB"
"215","PRATIO",10,0.034721756886984,"workflow","XGB"
"216","DD_0",10,0.021216627419464,"workflow","XGB"
"217","GSP",10,0.0175781678207761,"workflow","XGB"
"218","TD",10,0.0175781678207761,"workflow","XGB"
"219","RH",10,0.0231499343349395,"workflow","XGB"
"220","_baseline_",10,0.357371868362342,"workflow","XGB"
