"","variable","permutation","dropout_loss","label","Model"
"106","_full_model_",5,1.00069659070152,"workflow","GLM"
"107","aspen.prob",5,1.00069659070152,"workflow","GLM"
"108","cell",5,1.00069659070152,"workflow","GLM"
"109","x",5,1.00069659070152,"workflow","GLM"
"110","y",5,1.00069659070152,"workflow","GLM"
"111","tpi3",5,1.06625939026963,"workflow","GLM"
"112","tpi15",5,1.00069659070152,"workflow","GLM"
"113","hli",5,1.00069659070152,"workflow","GLM"
"114","elev",5,1.00069659070152,"workflow","GLM"
"115","pH",5,1.00069659070152,"workflow","GLM"
"116","clay",5,1.00069659070152,"workflow","GLM"
"117","om",5,1.14527096923634,"workflow","GLM"
"118","thetas",5,1.00517951716772,"workflow","GLM"
"119","ADI",5,1.39327953654846,"workflow","GLM"
"120","PRATIO",5,1.69559689011255,"workflow","GLM"
"121","GSPDD5",5,1.21921590735322,"workflow","GLM"
"122","GSP",5,1.00069659070152,"workflow","GLM"
"123","TD",5,0.966817807876243,"workflow","GLM"
"124","DD_0",5,1.00069659070152,"workflow","GLM"
"125","RH",5,1.0298356127318,"workflow","GLM"
"126","_baseline_",5,2.94516594541392,"workflow","GLM"
"127","_full_model_",6,0.988539831715962,"workflow","GLM"
"128","aspen.prob",6,0.988539831715962,"workflow","GLM"
"129","cell",6,0.988539831715962,"workflow","GLM"
"130","x",6,0.988539831715962,"workflow","GLM"
"131","y",6,0.988539831715962,"workflow","GLM"
"132","tpi3",6,1.05934369298214,"workflow","GLM"
"133","tpi15",6,0.988539831715962,"workflow","GLM"
"134","hli",6,0.988539831715962,"workflow","GLM"
"135","elev",6,0.988539831715962,"workflow","GLM"
"136","pH",6,0.988539831715962,"workflow","GLM"
"137","clay",6,0.988539831715962,"workflow","GLM"
"138","om",6,1.06180053549136,"workflow","GLM"
"139","thetas",6,0.968276730639798,"workflow","GLM"
"140","ADI",6,1.32362975147558,"workflow","GLM"
"141","PRATIO",6,1.72994470550295,"workflow","GLM"
"142","GSPDD5",6,1.20963225904706,"workflow","GLM"
"143","GSP",6,0.988539831715962,"workflow","GLM"
"144","TD",6,1.03028275587287,"workflow","GLM"
"145","DD_0",6,0.988539831715962,"workflow","GLM"
"146","RH",6,1.02431613835045,"workflow","GLM"
"147","_baseline_",6,2.88948077586169,"workflow","GLM"
"148","_full_model_",7,0.926699052420724,"workflow","GLM"
"149","aspen.prob",7,0.926699052420724,"workflow","GLM"
"150","cell",7,0.926699052420724,"workflow","GLM"
"151","x",7,0.926699052420724,"workflow","GLM"
"152","y",7,0.926699052420724,"workflow","GLM"
"153","tpi3",7,0.974358527676822,"workflow","GLM"
"154","tpi15",7,0.926699052420724,"workflow","GLM"
"155","hli",7,0.926699052420724,"workflow","GLM"
"156","elev",7,0.926699052420724,"workflow","GLM"
"157","pH",7,0.926699052420724,"workflow","GLM"
"158","clay",7,0.926699052420724,"workflow","GLM"
"159","om",7,1.06708678193367,"workflow","GLM"
"160","thetas",7,0.93223053902,"workflow","GLM"
"161","ADI",7,1.38823975917356,"workflow","GLM"
"162","PRATIO",7,1.69954342272193,"workflow","GLM"
"163","GSPDD5",7,1.08414803384954,"workflow","GLM"
"164","GSP",7,0.926699052420724,"workflow","GLM"
"165","TD",7,0.946887811527752,"workflow","GLM"
"166","DD_0",7,0.926699052420724,"workflow","GLM"
"167","RH",7,0.948731640394183,"workflow","GLM"
"168","_baseline_",7,2.90965530963569,"workflow","GLM"
"169","_full_model_",8,1.0922752206116,"workflow","GLM"
"170","aspen.prob",8,1.0922752206116,"workflow","GLM"
"171","cell",8,1.0922752206116,"workflow","GLM"
"172","x",8,1.0922752206116,"workflow","GLM"
