"layer","level","class","id","metric","value"
1,"patch",0,188,"area",0.81
1,"patch",0,189,"area",0.81
1,"patch",0,190,"area",1.62
1,"patch",0,191,"area",0.81
1,"patch",0,192,"area",0.81
1,"patch",0,193,"area",0.81
1,"patch",0,194,"area",34.83
1,"patch",0,195,"area",0.81
1,"patch",0,196,"area",5.67
1,"patch",0,197,"area",1.62
1,"patch",0,198,"area",0.81
1,"patch",0,199,"area",0.81
1,"patch",0,200,"area",2.43
1,"patch",0,201,"area",0.81
1,"patch",0,202,"area",0.81
1,"patch",0,203,"area",0.81
1,"patch",0,204,"area",1.62
1,"patch",0,205,"area",0.81
1,"patch",0,206,"area",1.62
1,"patch",0,207,"area",0.81
1,"patch",0,208,"area",0.81
1,"patch",0,209,"area",4.86
1,"patch",0,210,"area",0.81
1,"patch",0,211,"area",9.72
1,"patch",0,212,"area",0.81
1,"patch",0,213,"area",1.62
1,"patch",0,214,"area",5.67
1,"patch",0,215,"area",0.81
1,"patch",0,216,"area",2.43
1,"patch",0,217,"area",1.62
1,"patch",0,218,"area",0.81
1,"patch",0,219,"area",0.81
1,"patch",0,220,"area",2.43
1,"patch",0,221,"area",0.81
1,"patch",0,222,"area",0.81
1,"patch",0,223,"area",1.62
1,"patch",0,224,"area",2.43
1,"patch",0,225,"area",0.81
1,"patch",0,226,"area",0.81
1,"patch",0,227,"area",3.24
1,"patch",0,228,"area",150.66
1,"patch",0,229,"area",1.62
1,"patch",0,230,"area",1.62
1,"patch",0,231,"area",1.62
1,"patch",0,232,"area",0.81
1,"patch",0,233,"area",0.81
1,"patch",0,234,"area",0.81
1,"patch",0,235,"area",1.62
1,"patch",0,236,"area",3.24
1,"patch",0,237,"area",0.81
1,"patch",0,238,"area",0.81
1,"patch",0,239,"area",1.62
1,"patch",0,240,"area",0.81
1,"patch",0,241,"area",2.43
1,"patch",0,242,"area",2.43
1,"patch",0,243,"area",0.81
1,"patch",0,244,"area",0.81
1,"patch",0,245,"area",2.43
1,"patch",0,246,"area",0.81
1,"patch",0,247,"area",0.81
1,"patch",0,248,"area",1.62
1,"patch",0,249,"area",0.81
1,"patch",0,250,"area",1.62
1,"patch",0,251,"area",0.81
1,"patch",0,252,"area",0.81
1,"patch",0,253,"area",2.43
1,"patch",0,254,"area",0.81
1,"patch",0,255,"area",0.81
1,"patch",0,256,"area",0.81
1,"patch",0,257,"area",0.81
1,"patch",0,258,"area",2.43
1,"patch",0,259,"area",0.81
1,"patch",0,260,"area",1.62
1,"patch",0,261,"area",0.81
1,"patch",0,262,"area",0.81
1,"patch",0,263,"area",4.05
1,"patch",0,264,"area",0.81
1,"patch",0,265,"area",1.62
1,"patch",0,266,"area",1.62
1,"patch",0,267,"area",0.81
1,"patch",0,268,"area",0.81
1,"patch",0,269,"area",4.05
1,"patch",0,270,"area",0.81
1,"patch",0,271,"area",1.62
1,"patch",0,272,"area",0.81
1,"patch",0,273,"area",0.81
1,"patch",0,274,"area",0.81
1,"patch",0,275,"area",0.81
1,"patch",0,276,"area",0.81
1,"patch",0,277,"area",2.43
1,"patch",0,278,"area",2.43
1,"patch",0,279,"area",0.81
1,"patch",0,280,"area",2.43
1,"patch",0,281,"area",0.81
1,"patch",0,282,"area",2.43
1,"patch",0,283,"area",3.24
1,"patch",0,284,"area",0.81
1,"patch",0,285,"area",5.67
1,"patch",0,286,"area",0.81
1,"patch",0,287,"area",51.84
1,"patch",0,288,"area",1.62
1,"patch",0,289,"area",0.81
1,"patch",0,290,"area",8.1
1,"patch",0,291,"area",7.29
1,"patch",0,292,"area",0.81
1,"patch",0,293,"area",7.29
1,"patch",0,294,"area",0.81
1,"patch",0,295,"area",2.43
1,"patch",0,296,"area",1.62
1,"patch",0,297,"area",1.62
1,"patch",0,298,"area",0.81
1,"patch",0,299,"area",2.43
1,"patch",0,300,"area",1.62
1,"patch",0,301,"area",5.67
1,"patch",0,302,"area",0.81
1,"patch",0,303,"area",10.53
1,"patch",0,304,"area",7.29
1,"patch",0,305,"area",1.62
1,"patch",0,306,"area",2.43
1,"patch",0,307,"area",0.81
1,"patch",0,308,"area",0.81
1,"patch",0,309,"area",0.81
1,"patch",0,310,"area",2.43
1,"patch",0,311,"area",0.81
1,"patch",0,312,"area",0.81
1,"patch",0,313,"area",4.05
1,"patch",0,314,"area",1.62
1,"patch",0,315,"area",0.81
1,"patch",0,316,"area",0.81
1,"patch",0,317,"area",6.48
1,"patch",0,318,"area",0.81
1,"patch",0,319,"area",0.81
1,"patch",0,320,"area",3.24
1,"patch",0,321,"area",0.81
1,"patch",0,322,"area",4.86
1,"patch",0,323,"area",0.81
1,"patch",0,324,"area",1.62
1,"patch",0,325,"area",0.81
1,"patch",0,326,"area",12.15
1,"patch",0,327,"area",1.62
1,"patch",0,328,"area",0.81
1,"patch",0,329,"area",0.81
1,"patch",0,330,"area",6.48
1,"patch",0,331,"area",0.81
1,"patch",0,332,"area",26.73
1,"patch",0,333,"area",4.05
1,"patch",0,334,"area",3.24
1,"patch",0,335,"area",0.81
1,"patch",0,336,"area",0.81
1,"patch",0,337,"area",2.43
1,"patch",0,338,"area",0.81
1,"patch",0,339,"area",0.81
1,"patch",0,340,"area",1.62
1,"patch",0,341,"area",2.43
