"",".metric",".estimator","mean","n","std_err",".config","Dataset","Model"
"1","accuracy","binary",0.772433232534014,5,0.0212741056451059,"Preprocessor1_Model1","training","XGB"
"2","f_meas","binary",0.771799543438026,5,0.0420068909497435,"Preprocessor1_Model1","training","XGB"
"3","kap","binary",0.458433414503833,5,0.04186316995666,"Preprocessor1_Model1","training","XGB"
"4","precision","binary",0.782299303892401,5,0.0243299222444437,"Preprocessor1_Model1","training","XGB"
"5","recall","binary",0.767048943728767,5,0.0618981759820738,"Preprocessor1_Model1","training","XGB"
"6","roc_auc","binary",0.832426567985154,5,0.0145660376041978,"Preprocessor1_Model1","training","XGB"
"7","sens","binary",0.767048943728767,5,0.0618981759820738,"Preprocessor1_Model1","training","XGB"
"8","spec","binary",0.674270439587902,5,0.0923451096804022,"Preprocessor1_Model1","training","XGB"
