"",".metric",".estimator","mean","n","std_err",".config","Dataset","Model"
"1","accuracy","binary",0.74776649108806,5,0.018072693503875,"Preprocessor1_Model1","training","GLM"
"2","f_meas","binary",0.739668321383541,5,0.0479324182877197,"Preprocessor1_Model1","training","GLM"
"3","kap","binary",0.429030575364014,5,0.0360274657311224,"Preprocessor1_Model1","training","GLM"
"4","precision","binary",0.780181972680574,5,0.0343780864690264,"Preprocessor1_Model1","training","GLM"
"5","recall","binary",0.71452101508958,5,0.067529020524293,"Preprocessor1_Model1","training","GLM"
"6","roc_auc","binary",0.807257137010117,5,0.0197155580360454,"Preprocessor1_Model1","training","GLM"
"7","sens","binary",0.71452101508958,5,0.067529020524293,"Preprocessor1_Model1","training","GLM"
"8","spec","binary",0.719984681886067,5,0.0625869266908817,"Preprocessor1_Model1","training","GLM"
