"","_vname_","_label_","_x_","_yhat_","_ids_","method","Model"
"70","ADI","workflow",0.0739460135996342,0.508109547076393,0,"ALE","GAM"
"71","ADI","workflow",0.074880662560463,0.501316078115374,0,"ALE","GAM"
"72","ADI","workflow",0.0758949633687735,0.493782447684167,0,"ALE","GAM"
"73","ADI","workflow",0.0767361575365066,0.487407816219231,0,"ALE","GAM"
"74","ADI","workflow",0.0776213163137436,0.480579672650593,0,"ALE","GAM"
"75","ADI","workflow",0.0786434611678123,0.472548718466405,0,"ALE","GAM"
"76","ADI","workflow",0.0796890258789062,0.464183249818553,0,"ALE","GAM"
"77","ADI","workflow",0.0808680313825607,0.45458788423313,0,"ALE","GAM"
"78","ADI","workflow",0.0819199689477682,0.445902012860364,0,"ALE","GAM"
"79","ADI","workflow",0.0829330398142338,0.437447556006541,0,"ALE","GAM"
"80","ADI","workflow",0.0842532252520323,0.426336437739858,0,"ALE","GAM"
"81","ADI","workflow",0.0853888660669327,0.416725910452175,0,"ALE","GAM"
"82","ADI","workflow",0.0866820585727692,0.405769464664919,0,"ALE","GAM"
"83","ADI","workflow",0.088123194873333,0.39360196555548,0,"ALE","GAM"
"84","ADI","workflow",0.0893596094846725,0.383245501734807,0,"ALE","GAM"
"85","ADI","workflow",0.090761578977108,0.371654088559197,0,"ALE","GAM"
"86","ADI","workflow",0.0918898411095142,0.362477269591197,0,"ALE","GAM"
"87","ADI","workflow",0.0934624657034874,0.349980695077725,0,"ALE","GAM"
"88","ADI","workflow",0.0951769464462995,0.336822838546236,0,"ALE","GAM"
"89","ADI","workflow",0.0972752526402473,0.321516357936622,0,"ALE","GAM"
"90","ADI","workflow",0.0990027511119843,0.309664981392809,0,"ALE","GAM"
"91","ADI","workflow",0.100883129239082,0.297644620463464,0,"ALE","GAM"
"92","ADI","workflow",0.10296708136797,0.285502775806939,0,"ALE","GAM"
"93","ADI","workflow",0.10484338760376,0.275709760803062,0,"ALE","GAM"
"94","ADI","workflow",0.106895260065794,0.266319004883194,0,"ALE","GAM"
"95","ADI","workflow",0.109359663426876,0.256941194379791,0,"ALE","GAM"
"96","ADI","workflow",0.11247405000031,0.248119994588072,0,"ALE","GAM"
"97","ADI","workflow",0.115876678824425,0.242323499032074,0,"ALE","GAM"
"98","ADI","workflow",0.119575268253684,0.240450729377003,0,"ALE","GAM"
"99","ADI","workflow",0.125451837778091,0.246153551135177,0,"ALE","GAM"
"100","ADI","workflow",0.134113340824842,0.270020674662616,0,"ALE","GAM"
"101","ADI","workflow",0.202694028615952,0.496995185800948,0,"ALE","GAM"
"102","clay","workflow",4.7154803276062,0.449883842279225,0,"ALE","GAM"
"103","clay","workflow",8.85758008956909,0.423760707595802,0,"ALE","GAM"
"104","clay","workflow",9.48661668777466,0.420819796460924,0,"ALE","GAM"
"105","clay","workflow",9.91992743492126,0.419545568345037,0,"ALE","GAM"
"106","clay","workflow",10.2853409194946,0.419154298042447,0,"ALE","GAM"
"107","clay","workflow",10.5279331684113,0.419318258164817,0,"ALE","GAM"
"108","clay","workflow",10.7979828834534,0.419956501887293,0,"ALE","GAM"
"109","clay","workflow",11.1399576568604,0.421524840960289,0,"ALE","GAM"
