"","aspen.presence","aspen.prob","cell","x","y","tpi3","tpi15","hli","elev","pH","clay","om","thetas","ADI","PRATIO","DD_0","GSP","TD","RH"
"1","0",0,25549043,359495,4337985,0.198413640260696,-0.0496609471738338,0.737200021743774,3648.95336914062,5.11898422241211,13.0745944976807,0.47079810500145,0.481694221496582,0.0245104599744081,0.447651863098145,1565.96850585938,363.249542236328,19.8132495880127,50.6350364685059
"2","0",0,17050062,289655,4471815,0.761570930480957,14.4602003097534,0.964252948760986,2178.90258789062,6.31278705596924,17.8757858276367,0.70775705575943,0.539613664150238,0.0765111371874809,0.509498775005341,652.589477539062,281.689544677734,24.6533393859863,51.9590301513672
"3","0",0,17662887,408455,4462185,-0.0517014004290104,-0.418418109416962,0.579204440116882,2778.02758789062,5.78667497634888,9.6945104598999,0.352367967367172,0.553122878074646,0.0473104380071163,0.504076302051544,1096.81628417969,314.677215576172,21.8622951507568,49.544189453125
"4","0",0,16125046,362915,4486395,0.801179826259613,13.5729522705078,0.806369304656982,2806.23706054688,5.99668598175049,11.8927755355835,0.883736908435822,0.529837250709534,0.0349666401743889,0.393932163715363,1092.48205566406,358.074310302734,21.8023643493652,50.814281463623
"5","0",0,24674784,371735,4351755,-1.37678790092468,-23.7963943481445,0.621110081672668,3482.08618164062,5.03106117248535,13.5072784423828,0.581052124500275,0.486199706792831,0.0262441579252481,0.445273458957672,1416.89697265625,383.776824951172,20.3393211364746,51.9037284851074
"6","0",0,41569902,513755,4085715,0.385486006736755,9.5963716506958,0.639408469200134,2494.38037109375,6.48670148849487,16.3445281982422,0.267414927482605,0.476640343666077,0.0798765644431114,0.702197670936584,324.084259033203,374.443145751953,19.2768325805664,53.1281585693359
"7","0",0,23121112,444455,4376235,0.420627444982529,11.3037376403809,0.80219954252243,3591.92358398438,4.9251537322998,14.1976871490479,0.618268609046936,0.493864864110947,0.0332880765199661,0.587992429733276,1354.67272949219,402.121826171875,19.4664535522461,56.5492286682129
"8","0",0,38442156,366065,4134945,-0.148960679769516,-8.70184421539307,0.84214437007904,2997.52758789062,6.4686598777771,19.0986080169678,0.44762721657753,0.523228347301483,0.0325129330158234,0.445934742689133,1064.19079589844,378.221038818359,20.5308799743652,46.7384986877441
"9","0",0,30566307,313955,4258965,0.462325662374496,6.28005266189575,0.804094135761261,2352.7890625,6.88536357879639,21.9144897460938,0.306032776832581,0.513356328010559,0.149068519473076,0.565449416637421,947.596130371094,150.249206542969,27.09739112854,41.8581924438477
"10","0",0,13622485,417725,4525815,-0.136989921331406,-11.4327230453491,0.698423683643341,2528.77465820312,6.01123237609863,13.9204568862915,0.631742060184479,0.546109139919281,0.0650556161999702,0.541310966014862,866.787963867188,275.563140869141,21.5108985900879,48.5639686584473
