"aspen.presence","aspen.prob","cell","x","y","tpi3","tpi15","hli","elev","pH","clay","om","thetas","ADI","PRATIO","GSPDD5","GSP","TD","DD_0","RH"
"0",0,19102057,317555,4439505,1.77551889419556,29.3745594024658,0.652219831943512,3639.33447265625,6.581223487854,17.3727512359619,0.394668191671371,0.516396939754486,0.0179388970136642,0.383431226015091,260.172424316406,487.920959472656,20.8733329772949,1420.52783203125,53.8268508911133
"0",0,39487399,311885,4118475,0.0505009219050407,1.44072580337524,0.809479057788849,2595.38671875,6.29657936096191,15.1618070602417,0.20770438015461,0.473377496004105,0.0631067454814911,0.496261715888977,578.570434570312,328.046722412109,21.7857151031494,434.472869873047,54.354118347168
"0",0,28328062,497105,4294245,1.08332121372223,19.3360137939453,0.7754026055336,3456.57983398438,5.33692502975464,7.67371129989624,0.754372537136078,0.603831231594086,0.0345263630151749,0.736104011535645,325.477386474609,531.110961914062,18.9115772247314,1115.18090820312,58.6277847290039
"0",0,48409035,358775,3977985,-0.337440818548203,-6.29524993896484,0.788792967796326,2696.04418945312,6.16995477676392,19.4729423522949,0.293589472770691,0.536142647266388,0.054321750998497,0.508073031902313,499.752685546875,352.455230712891,19.7923202514648,521.538330078125,50.4179077148438
"0",0,13135915,346175,4533465,-0.103725120425224,1.49977827072144,0.619469463825226,3075.33813476562,5.76399278640747,9.84476375579834,0.675544619560242,0.552769243717194,0.0200226902961731,0.338453084230423,314.466888427734,441.425750732422,22.4962024688721,1367.28125,57.6494979858398
"0",0,33425815,494675,4213965,-1.43479585647583,-26.395055770874,0.470742225646973,2524.10791015625,5.73754453659058,14.0443286895752,0.374389231204987,0.541094720363617,0.0669726952910423,0.640542089939117,582.736145019531,378.319580078125,19.7585391998291,436.733123779297,52.8036155700684
"0",0,22697953,422045,4382895,0.836417198181152,16.7159996032715,0.544629991054535,3388.77026367188,5.00621366500854,12.1447315216064,0.388275563716888,0.547979295253754,0.0353452153503895,0.501758337020874,225.419494628906,361.032257080078,20.5976238250732,1287.33837890625,53.070198059082
"0",0,11347502,380555,4561635,0.562284708023071,10.2845983505249,0.698900163173676,2600.87426757812,5.96794414520264,12.5437650680542,0.442679136991501,0.516203045845032,0.0511753186583519,0.474652469158173,321.772644042969,307.5185546875,22.532678604126,990.554443359375,51.4707374572754
"0",0,34486692,304505,4197225,-0.0758397951722145,-1.87312722206116,0.751130104064941,3399.2880859375,5.52619123458862,17.0050964355469,0.494224697351456,0.519792556762695,0.0318743251264095,0.468000650405884,234.540252685547,371.542510986328,19.1975917816162,1111.35546875,47.9489212036133
"0",0,13279292,391355,4531215,-0.313328117132187,-5.09797096252441,0.895603239536285,2532.18408203125,5.84258794784546,10.8927698135376,0.421914488077164,0.527287662029266,0.08037119358778,0.554704070091248,251.826705932617,233.373046875,22.0988731384277,927.033935546875,47.9135856628418
